시군구,단지명,계약연월,전용면적(㎡),매매대금(만원) 평균,전세(만원) 평균,면적당 매매대금평균,면적당 전세평균,전세가율-100%,lat,lng,전세가율-90%,전세가율-80%,전세가율-70%,전세가율-60%
강원특별자치도 강릉시 노암동-366,영진노암2차,2019-10-01,49.525,5700.0,4000.0,115.0933872,80.76728925,70.1754386,37.7445363,128.8986836,5130.0,4560.0,3989.9999999999995,3420.0
강원특별자치도 강릉시 노암동-390,노암한라,2019-11-01,84.99,13500.0,11000.0,158.8422167,129.4269914,81.48148148,37.7447455,128.9018991,12150.0,10800.0,9450.0,8100.0
강원특별자치도 강릉시 노암동-390,노암한라,2021-06-01,59.976,11800.0,10000.0,196.7453648,166.73336,84.74576271,37.7447455,128.9018991,10620.0,9440.0,8260.0,7080.0
강원특별자치도 강릉시 송정동-0039,삼익비치맨션,2020-05-01,84.544,15550.0,11000.0,183.9278955,130.1097653,70.73954984,37.7778102,128.93364,13995.0,12440.0,10885.0,9330.0
강원특별자치도 강릉시 송정동-0039,삼익비치맨션,2020-10-01,84.544,15500.0,13000.0,183.3364875,153.7660863,83.87096774,37.7778102,128.93364,13950.0,12400.0,10850.0,9300.0
강원특별자치도 강릉시 송정동-0940,대림맨션,2020-07-01,84.99,13000.0,6000.0,152.9591717,70.59654077,46.15384615,37.7703368,128.9212069,11700.0,10400.0,9100.0,7800.0
강원특별자치도 강릉시 송정동-1061,경포대신도브래뉴로얄카운티,2020-08-01,155.837,38600.0,36600.0,247.6947066,234.860784,94.81865285,37.7784599,128.9340697,34740.0,30880.0,27020.0,23160.0
강원특별자치도 강릉시 송정동-1061,경포대신도브래뉴로얄카운티,2022-05-01,155.837,68000.0,53000.0,436.3533692,340.0989495,77.94117647,37.7784599,128.9340697,61200.0,54400.0,47600.0,40800.0
강원특별자치도 강릉시 송정동-1063,강릉송정한신더휴,2020-01-01,84.9955,28000.0,2000.0,329.4292051,23.53065751,7.142857143,37.7730505,128.9268834,25200.0,22400.0,19600.0,16800.0
강원특별자치도 강릉시 송정동-1063,강릉송정한신더휴,2022-04-01,84.961,53400.0,40000.0,628.5236756,470.8042514,74.90636704,37.7730505,128.9268834,48060.0,42720.0,37380.0,32040.0
강원특별자치도 강릉시 송정동-1064,송정아이파크,2020-12-01,84.93,36000.0,40000.0,423.8784882,470.976098,111.1111111,37.7751295,128.934582,32400.0,28800.0,25200.0,21600.0
강원특별자치도 강릉시 송정동-1064,송정아이파크,2021-01-01,84.93,43500.0,35000.0,512.1865065,412.1040857,80.45977011,37.7751295,128.934582,39150.0,34800.0,30449.999999999996,26100.0
강원특별자치도 강릉시 송정동-1065,강릉송정신원아침도시,2021-03-01,84.9522,35900.0,37000.0,422.5905862,435.5390443,103.0640669,37.7734413,128.9328702,32310.0,28720.0,25130.0,21540.0
강원특별자치도 강릉시 송정동-1065,강릉송정신원아침도시,2021-10-01,75.9722,47000.0,35000.0,618.6473473,460.6948331,74.46808511,37.7734413,128.9328702,42300.0,37600.0,32900.0,28200.0
강원특별자치도 강릉시 연곡면 영진리-0011,영진부영1,2020-04-01,59.987,13300.0,10500.0,221.7147049,175.0379249,78.94736842,37.8685856,128.8418501,11970.0,10640.0,9310.0,7980.0
강원특별자치도 강릉시 연곡면 영진리-0012,영진부영2,2020-10-01,59.987,14500.0,13000.0,241.7190391,216.7136213,89.65517241,37.8696376,128.8418015,13050.0,11600.0,10150.0,8700.0
강원특별자치도 강릉시 연곡면 영진리-0380,영진부영3,2020-04-01,84.9157,18400.0,17000.0,216.6854893,200.1985499,92.39130435,37.8705253,128.840415,16560.0,14720.0,12880.0,11040.0
